x,a,l,lp,t,n
18.2,1,0.9995,0.9996,0.005,0
18.72,1,0.9995,0.9996,0.005,0
19.24,1,0.9995,0.9996,0.005,0
19.76,1,0.9995,0.9996,0.005,0
20.28,1,0.9995,0.9996,0.005,0
-5.2,1,0.9994,0.9995,0.006,0
-4.68,1,0.9994,0.9995,0.006,0
-4.16,1,0.9994,0.9995,0.006,0
-3.64,1,0.9994,0.9995,0.006,0
-3.12,1,0.9994,0.9995,0.006,0
-2.6,1,0.9994,0.9995,0.006,0.00000005
-2.08,1,0.9994,0.9995,0.006,0.00000146
-1.56,1,0.9994,0.9995,0.006,0.00002146
-1.04,1,0.9994,0.9995,0.006,0.00019429
-0.52,1,0.9994,0.9995,0.006,0.00123204
0,1,0.9994,0.9995,0.006,0.00534051
0.52,1,0.9994,0.9995,0.006,0.01401538
1.04,1,0.9994,0.9995,0.006,0.0224816
1.56,1,0.9994,0.9995,0.006,0.03085808
2.08,1,0.9994,0.9995,0.006,0.03914578
2.6,1,0.9994,0.9995,0.006,0.04734564
3.12,1,0.9994,0.9995,0.006,0.05545863
3.64,1,0.9994,0.9995,0.006,0.06348566
4.16,1,0.9994,0.9995,0.006,0.07142766
4.68,1,0.9994,0.9995,0.006,0.07928555
5.2,1,0.9994,0.9995,0.006,0.08706022
5.72,1,0.9994,0.9995,0.006,0.09475256
6.24,1,0.9994,0.9995,0.006,0.10236346
6.76,1,0.9994,0.9995,0.006,0.1098938
7.28,1,0.9994,0.9995,0.006,0.11734443
7.8,1,0.9994,0.9995,0.006,0.1247162
8.32,1,0.9994,0.9995,0.006,0.13200997
8.84,1,0.9994,0.9995,0.006,0.13922657
9.36,1,0.9994,0.9995,0.006,0.14636681
9.88,1,0.9994,0.9995,0.006,0.15343153
10.4,1,0.9994,0.9995,0.006,0.16042152
10.92,1,0.9994,0.9995,0.006,0.16733759
11.44,1,0.9994,0.9995,0.006,0.17418053
11.96,1,0.9994,0.9995,0.006,0.18095111
12.48,1,0.9994,0.9995,0.006,0.18764863
13,1,0.9994,0.9995,0.006,0.1942349
13.52,1,0.9994,0.9995,0.006,0.20027371
14.04,1,0.9994,0.9995,0.006,0.20303978
14.56,1,0.9994,0.9995,0.006,0.19234111
15.08,1,0.9994,0.9995,0.006,0.1454608
15.6,1,0.9994,0.9995,0.006,0.0560929
16.12,1,0.9994,0.9995,0.006,0
16.64,1,0.9994,0.9995,0.006,0
17.16,1,0.9994,0.9995,0.006,0
17.68,1,0.9994,0.9995,0.006,0
18.2,1,0.9994,0.9995,0.006,0
18.72,1,0.9994,0.9995,0.006,0
19.24,1,0.9994,0.9995,0.006,0
19.76,1,0.9994,0.9995,0.006,0
20.28,1,0.9994,0.9995,0.006,0
-5.2,1,0.9993,0.9994,0.007,0
-4.68,1,0.9993,0.9994,0.007,0
-4.16,1,0.9993,0.9994,0.007,0
-3.64,1,0.9993,0.9994,0.007,0
-3.12,1,0.9993,0.9994,0.007,0.00000001
-2.6,1,0.9993,0.9994,0.007,0.00000028
-2.08,1,0.9993,0.9994,0.007,0.00000462
-1.56,1,0.9993,0.9994,0.007,0.00004709
-1.04,1,0.9993,0.9994,0.007,0.00033585
-0.52,1,0.9993,0.9994,0.007,0.00181171
0,1,0.9993,0.9994,0.007,0.00704709
0.52,1,0.9993,0.9994,0.007,0.01736715
1.04,1,0.9993,0.9994,0.007,0.02719423
1.56,1,0.9993,0.9994,0.007,0.03689988
2.08,1,0.9993,0.9994,0.007,0.04648561
2.6,1,0.9993,0.9994,0.007,0.05595293
3.12,1,0.9993,0.9994,0.007,0.0653033
3.64,1,0.9993,0.9994,0.007,0.07453819
4.16,1,0.9993,0.9994,0.007,0.08365904
4.68,1,0.9993,0.9994,0.007,0.09266726
5.2,1,0.9993,0.9994,0.007,0.10156426
5.72,1,0.9993,0.9994,0.007,0.11035142
6.24,1,0.9993,0.9994,0.007,0.11903012
6.76,1,0.9993,0.9994,0.007,0.1276017
7.28,1,0.9993,0.9994,0.007,0.1360675
7.8,1,0.9993,0.9994,0.007,0.14442883
8.32,1,0.9993,0.9994,0.007,0.15268699
8.84,1,0.9993,0.9994,0.007,0.16084326
9.36,1,0.9993,0.9994,0.007,0.16889892
9.88,1,0.9993,0.9994,0.007,0.17685522
10.4,1,0.9993,0.9994,0.007,0.18471338
10.92,1,0.9993,0.9994,0.007,0.19247463
11.44,1,0.9993,0.9994,0.007,0.20014017
