x,t,a,l,lp,n
5.2,0.781,1,0.9219,0.922,0.74950807
5.72,0.781,1,0.9219,0.922,0.74642624
6.24,0.781,1,0.9219,0.922,0.74280122
6.76,0.781,1,0.9219,0.922,0.73852411
7.28,0.781,1,0.9219,0.922,0.73345982
7.8,0.781,1,0.9219,0.922,0.72744006
8.32,0.781,1,0.9219,0.922,0.72025442
8.84,0.781,1,0.9219,0.922,0.7116387
9.36,0.781,1,0.9219,0.922,0.7012597
9.88,0.781,1,0.9219,0.922,0.68869533
10.4,0.781,1,0.9219,0.922,0.67340838
10.92,0.781,1,0.9219,0.922,0.65471195
11.44,0.781,1,0.9219,0.922,0.63172351
11.96,0.781,1,0.9219,0.922,0.60330364
12.48,0.781,1,0.9219,0.922,0.56797401
13,0.781,1,0.9219,0.922,0.52380703
13.52,0.781,1,0.9219,0.922,0.46827664
14.04,0.781,1,0.9219,0.922,0.39805564
14.56,0.781,1,0.9219,0.922,0.30873915
15.08,0.781,1,0.9219,0.922,0.19446542
15.6,0.781,1,0.9219,0.922,0.06722912
16.12,0.781,1,0.9219,0.922,0
16.64,0.781,1,0.9219,0.922,0
17.16,0.781,1,0.9219,0.922,0
17.68,0.781,1,0.9219,0.922,0
18.2,0.781,1,0.9219,0.922,0
18.72,0.781,1,0.9219,0.922,0
19.24,0.781,1,0.9219,0.922,0
19.76,0.781,1,0.9219,0.922,0
20.28,0.781,1,0.9219,0.922,0
-5.2,0.782,1,0.9218,0.9219,0.00038435
-4.68,0.782,1,0.9218,0.9219,0.0008058
-4.16,0.782,1,0.9218,0.9219,0.00168938
-3.64,0.782,1,0.9218,0.9219,0.00354183
-3.12,0.782,1,0.9218,0.9219,0.00742555
-2.6,0.782,1,0.9218,0.9219,0.01556787
-2.08,0.782,1,0.9218,0.9219,0.03263849
-1.56,0.782,1,0.9218,0.9219,0.0684275
-1.04,0.782,1,0.9218,0.9219,0.14346013
-0.52,0.782,1,0.9218,0.9219,0.30076805
0,0.782,1,0.9218,0.9219,0.56499003
0.52,0.782,1,0.9218,0.9219,0.76294524
1.04,0.782,1,0.9218,0.9219,0.76225247
1.56,0.782,1,0.9218,0.9219,0.7614114
2.08,0.782,1,0.9218,0.9219,0.76040637
2.6,0.782,1,0.9218,0.9219,0.75921733
3.12,0.782,1,0.9218,0.9219,0.7578192
3.64,0.782,1,0.9218,0.9219,0.75618087
4.16,0.782,1,0.9218,0.9219,0.75426398
4.68,0.782,1,0.9218,0.9219,0.75202137
5.2,0.782,1,0.9218,0.9219,0.74939506
5.72,0.782,1,0.9218,0.9219,0.74631366
6.24,0.782,1,0.9218,0.9219,0.74268915
6.76,0.782,1,0.9218,0.9219,0.73841267
7.28,0.782,1,0.9218,0.9219,0.73334911
7.8,0.782,1,0.9218,0.9219,0.72733023
8.32,0.782,1,0.9218,0.9219,0.72014566
8.84,0.782,1,0.9218,0.9219,0.71153121
9.36,0.782,1,0.9218,0.9219,0.70115376
9.88,0.782,1,0.9218,0.9219,0.68859127
10.4,0.782,1,0.9218,0.9219,0.67330661
10.92,0.782,1,0.9218,0.9219,0.65461299
11.44,0.782,1,0.9218,0.9219,0.631628
11.96,0.782,1,0.9218,0.9219,0.60321241
12.48,0.782,1,0.9218,0.9219,0.5678881
13,0.782,1,0.9218,0.9219,0.52372779
13.52,0.782,1,0.9218,0.9219,0.46820578
14.04,0.782,1,0.9218,0.9219,0.39799539
14.56,0.782,1,0.9218,0.9219,0.30869241
15.08,0.782,1,0.9218,0.9219,0.19443598
15.6,0.782,1,0.9218,0.9219,0.06721894
16.12,0.782,1,0.9218,0.9219,0
16.64,0.782,1,0.9218,0.9219,0
17.16,0.782,1,0.9218,0.9219,0
17.68,0.782,1,0.9218,0.9219,0
18.2,0.782,1,0.9218,0.9219,0
18.72,0.782,1,0.9218,0.9219,0
19.24,0.782,1,0.9218,0.9219,0
19.76,0.782,1,0.9218,0.9219,0
20.28,0.782,1,0.9218,0.9219,0
-5.2,0.783,1,0.9217,0.9218,0.00038429
-4.68,0.783,1,0.9217,0.9218,0.00080568
-4.16,0.783,1,0.9217,0.9218,0.00168912
-3.64,0.783,1,0.9217,0.9218,0.0035413
-3.12,0.783,1,0.9217,0.9218,0.00742444
-2.6,0.783,1,0.9217,0.9218,0.01556554
-2.08,0.783,1,0.9217,0.9218,0.0326336
-1.56,0.783,1,0.9217,0.9218,0.06841724
-1.04,0.783,1,0.9217,0.9218,0.14343861
-0.52,0.783,1,0.9217,0.9218,0.30072291
0,0.783,1,0.9217,0.9218,0.56490521
0.52,0.783,1,0.9217,0.9218,0.76283064
1.04,0.783,1,0.9217,0.9218,0.76213789
1.56,0.783,1,0.9217,0.9218,0.76129689
2.08,0.783,1,0.9217,0.9218,0.76029195
2.6,0.783,1,0.9217,0.9218,0.75910304
3.12,0.783,1,0.9217,0.9218,0.75770507
3.64,0.783,1,0.9217,0.9218,0.75606694
4.16,0.783,1,0.9217,0.9218,0.7541503
4.68,0.783,1,0.9217,0.9218,0.751908
5.2,0.783,1,0.9217,0.9218,0.74928204
5.72,0.783,1,0.9217,0.9218,0.74620108
6.24,0.783,1,0.9217,0.9218,0.74257709
6.76,0.783,1,0.9217,0.9218,0.73830122
7.28,0.783,1,0.9217,0.9218,0.7332384
7.8,0.783,1,0.9217,0.9218,0.72722041
8.32,0.783,1,0.9217,0.9218,0.72003689
8.84,0.783,1,0.9217,0.9218,0.71142373
9.36,0.783,1,0.9217,0.9218,0.70104782
9.88,0.783,1,0.9217,0.9218,0.6884872
10.4,0.783,1,0.9217,0.9218,0.67320483
10.92,0.783,1,0.9217,0.9218,0.65451402
11.44,0.783,1,0.9217,0.9218,0.63153249
11.96,0.783,1,0.9217,0.9218,0.60312117
12.48,0.783,1,0.9217,0.9218,0.56780219
13,0.783,1,0.9217,0.9218,0.52364854
13.52,0.783,1,0.9217,0.9218,0.46813492
14.04,0.783,1,0.9217,0.9218,0.39793514
14.56,0.783,1,0.9217,0.9218,0.30864567
15.08,0.783,1,0.9217,0.9218,0.19440653
15.6,0.783,1,0.9217,0.9218,0.06720876
16.12,0.783,1,0.9217,0.9218,0
16.64,0.783,1,0.9217,0.9218,0
17.16,0.783,1,0.9217,0.9218,0
17.68,0.783,1,0.9217,0.9218,0
18.2,0.783,1,0.9217,0.9218,0
18.72,0.783,1,0.9217,0.9218,0
19.24,0.783,1,0.9217,0.9218,0
19.76,0.783,1,0.9217,0.9218,0
20.28,0.783,1,0.9217,0.9218,0
-5.2,0.784,1,0.9216,0.9217,0.00038423
-4.68,0.784,1,0.9216,0.9217,0.00080556
-4.16,0.784,1,0.9216,0.9217,0.00168887
-3.64,0.784,1,0.9216,0.9217,0.00354077
-3.12,0.784,1,0.9216,0.9217,0.00742332
-2.6,0.784,1,0.9216,0.9217,0.01556321
-2.08,0.784,1,0.9216,0.9217,0.0326287
-1.56,0.784,1,0.9216,0.9217,0.06840698
-1.04,0.784,1,0.9216,0.9217,0.14341709
-0.52,0.784,1,0.9216,0.9217,0.30067777
0,0.784,1,0.9216,0.9217,0.56482038
0.52,0.784,1,0.9216,0.9217,0.76271603
1.04,0.784,1,0.9216,0.9217,0.76202332
1.56,0.784,1,0.9216,0.9217,0.76118238
2.08,0.784,1,0.9216,0.9217,0.76017753
2.6,0.784,1,0.9216,0.9217,0.75898874
3.12,0.784,1,0.9216,0.9217,0.75759094
3.64,0.784,1,0.9216,0.9217,0.75595301
4.16,0.784,1,0.9216,0.9217,0.75403662
4.68,0.784,1,0.9216,0.9217,0.75179462
5.2,0.784,1,0.9216,0.9217,0.74916903
5.72,0.784,1,0.9216,0.9217,0.7460885
6.24,0.784,1,0.9216,0.9217,0.74246502
6.76,0.784,1,0.9216,0.9217,0.73818977
7.28,0.784,1,0.9216,0.9217,0.73312769
7.8,0.784,1,0.9216,0.9217,0.72711058
8.32,0.784,1,0.9216,0.9217,0.71992813
8.84,0.784,1,0.9216,0.9217,0.71131625
9.36,0.784,1,0.9216,0.9217,0.70094189
9.88,0.784,1,0.9216,0.9217,0.68838314
10.4,0.784,1,0.9216,0.9217,0.67310306
10.92,0.784,1,0.9216,0.9217,0.65441505
11.44,0.784,1,0.9216,0.9217,0.63143698
11.96,0.784,1,0.9216,0.9217,0.60302994
12.48,0.784,1,0.9216,0.9217,0.56771628
13,0.784,1,0.9216,0.9217,0.5235693
13.52,0.784,1,0.9216,0.9217,0.46806406
14.04,0.784,1,0.9216,0.9217,0.39787489
14.56,0.784,1,0.9216,0.9217,0.30859893
15.08,0.784,1,0.9216,0.9217,0.19437708
15.6,0.784,1,0.9216,0.9217,0.06719858
16.12,0.784,1,0.9216,0.9217,0
16.64,0.784,1,0.9216,0.9217,0
17.16,0.784,1,0.9216,0.9217,0
17.68,0.784,1,0.9216,0.9217,0
18.2,0.784,1,0.9216,0.9217,0
18.72,0.784,1,0.9216,0.9217,0
19.24,0.784,1,0.9216,0.9217,0
19.76,0.784,1,0.9216,0.9217,0
