x,t,a,l,lp,n
 20.28000000,  0.00200000,  1.00000000,  0.99960000,  0.99980000,  0.00000000
 -5.20000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -4.68000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -4.16000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -3.64000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -3.12000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -2.60000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -2.08000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -1.56000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -1.04000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00006332
 -0.52000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00064996
  0.00000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00298061
  0.52000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00704412
  1.04000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.01132598
  1.56000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.01558509
  2.08000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.01982157
  2.60000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.02403557
  3.12000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.02822719
  3.64000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.03239657
  4.16000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.03654383
  4.68000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.04066910
  5.20000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.04477250
  5.72000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.04885414
  6.24000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.05291415
  6.76000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.05695266
  7.28000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.06096978
  7.80000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.06496563
  8.32000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.06894032
  8.84000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.07289399
  9.36000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.07682673
  9.88000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.08073868
 10.40000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.08462994
 10.92000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.08850063
 11.44000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.09235087
 11.96000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.09618076
 12.48000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.09999043
 13.00000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.10377997
 13.52000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.10754951
 14.04000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.10985445
 14.56000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.10263244
 15.08000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.06985658
 15.60000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.02246454
 16.12000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 16.64000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 17.16000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 17.68000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 18.20000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 18.72000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 19.24000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 19.76000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 20.28000000,  0.00300000,  1.00000000,  0.99940000,  0.99960000,  0.00000000
 -5.20000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -4.68000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -4.16000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -3.64000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -3.12000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -2.60000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -2.08000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -1.56000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00002174
 -1.04000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00025282
 -0.52000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00144657
  0.00000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00501486
  0.52000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.01058157
  1.04000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.01626060
  1.56000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.02189943
  2.08000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.02749835
  2.60000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.03305766
  3.12000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.03857764
  3.64000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.04405858
  4.16000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.04950077
  4.68000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.05490449
  5.20000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.06027001
  5.72000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.06559762
  6.24000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.07088759
  6.76000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.07614019
  7.28000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.08135569
  7.80000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.08653438
  8.32000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.09167650
  8.84000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.09678233
  9.36000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.10185213
  9.88000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.10688616
 10.40000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.11188468
 10.92000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.11684795
 11.44000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.12177623
 11.96000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.12666976
 12.48000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.13152879
 13.00000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.13635359
 13.52000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.14056158
 14.04000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.14011474
 14.56000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.12416825
 15.08000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.07968386
 15.60000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.02456434
 16.12000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 16.64000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 17.16000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 17.68000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 18.20000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 18.72000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 19.24000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 19.76000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 20.28000000,  0.00400000,  1.00000000,  0.99920000,  0.99940000,  0.00000000
 -5.20000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -4.68000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -4.16000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -3.64000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -3.12000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -2.60000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000000
 -2.08000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00000747
 -1.56000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00009699
 -1.04000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00061508
 -0.52000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00259915
  0.00000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.00757245
  0.52000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.01470065
  1.04000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.02175671
  1.56000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.02875039
  2.08000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.03568224
  2.60000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.04255283
  3.12000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.04936271
  3.64000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.05611243
  4.16000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.06280252
  4.68000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.06943352
  5.20000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.07600597
  5.72000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.08252039
  6.24000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.08897730
  6.76000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.09537722
  7.28000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.10172066
  7.80000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.10800813
  8.32000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.11424013
  8.84000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.12041715
  9.36000000,  0.00500000,  1.00000000,  0.99900000,  0.99920000,  0.12653970
